2019.06.16 18:00:09.670 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 18:00:09.670 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 18:00:09.735 INFO  Server.Server - Server's  strategy: ServerStrategySolveSearchProblem
2019.06.16 18:00:09.735 INFO  Server.Server - Server's  strategy: ServerStrategyGenerateMaze
2019.06.16 18:00:09.737 INFO  Server.Server - Server is waiting for clients
2019.06.16 18:00:09.738 INFO  Server.Server - Server is waiting for clients
2019.06.16 18:00:10.933 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:10.936 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:11.939 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:11.941 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:12.942 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:12.945 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:13.945 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:13.947 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:14.947 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:14.950 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:15.951 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:15.954 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:16.951 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:16.954 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:17.951 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:17.955 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:18.952 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:18.955 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:19.952 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:19.955 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:20.953 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:20.956 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:21.954 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:21.957 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:22.955 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:22.958 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:23.579 INFO  Server.Server - Client accepted Socket[addr=/192.168.244.1,port=55103,localport=5400]!
2019.06.16 18:00:23.580 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.244.1,port=55103,localport=5400]!
2019.06.16 18:00:23.601 INFO  Server.Server - Maze created. Number of rows:20, number of columns:20. Generated by:MyMazeGenerator
2019.06.16 18:00:23.601 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.244.1,port=55103,localport=5400]!
2019.06.16 18:00:23.958 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:24.580 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:24.959 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:25.581 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:25.968 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:26.582 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:26.972 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:27.582 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:27.972 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:28.583 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:28.974 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:29.584 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:29.974 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:30.585 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:30.975 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:31.585 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:31.975 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:32.587 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:32.977 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:33.587 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:33.978 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:34.587 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:34.980 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:35.587 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:35.980 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:36.589 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:36.981 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:37.592 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:37.982 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:38.592 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:38.982 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:39.593 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:39.983 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:40.594 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:40.984 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:41.594 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:41.985 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:42.595 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:42.986 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:43.596 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:43.987 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:44.025 INFO  Server.Server - Client accepted Socket[addr=/192.168.244.1,port=55105,localport=5401]!
2019.06.16 18:00:44.025 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.244.1,port=55105,localport=5401]!
2019.06.16 18:00:44.050 INFO  Server.Server - Maze solve successfully by ServerStrategySearchProblem, with the searching algorithm: BestFirstSearch
2019.06.16 18:00:44.051 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.244.1,port=55105,localport=5401]!
2019.06.16 18:00:44.596 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:45.026 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:45.597 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:46.026 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:46.597 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:47.026 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:47.598 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:48.027 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:48.599 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:49.027 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:49.600 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:50.027 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:50.600 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:51.028 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:51.601 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:52.028 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:52.601 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:53.028 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:53.602 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:54.029 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:54.602 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:55.029 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:55.603 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:56.031 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:56.604 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:57.032 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:57.604 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:58.033 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:58.606 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:59.034 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:00:59.607 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:00.035 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:00.608 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:01.036 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:01.611 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:02.037 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:02.611 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:03.039 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:03.614 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:04.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:04.614 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:05.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:05.615 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:06.040 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:06.616 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:07.041 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:07.617 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:08.041 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:08.617 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:09.042 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:09.618 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:10.043 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:10.618 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:11.043 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:11.619 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:12.044 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:12.619 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:01:13.044 DEBUG Server.Server - Socket timeout - no clients pending!
